pecha_id,source_batch,has_tsawa_layer,n_spans,n_isverse_true,n_isverse_false,n_isverse_missing,base_chars,tsawa_chars_sum,tsawa_chars_union,coverage_pct,avg_span_len,median_span_len,n_zero_length,n_inverted,n_out_of_bounds,n_overlap_pairs,n_spans_overlapping,parse_status,notes,opf_root,tsawa_path,base_path
I001D528B,new,False,0,0,0,0,207753,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I001D528B.opf/I001D528B.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I001D528B.opf/I001D528B.opf/base/v001.txt
I014A51A2,new,False,0,0,0,0,22607,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I014A51A2.opf/I014A51A2.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I014A51A2.opf/I014A51A2.opf/base/v001.txt
I0156A8B1,new,True,1,1,0,0,62574,63,63,0.100681,63.0,63.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I0156A8B1.opf/I0156A8B1.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I0156A8B1.opf/I0156A8B1.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I0156A8B1.opf/I0156A8B1.opf/base/v001.txt
I0288940D,new,False,0,0,0,0,30074,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I0288940D.opf/I0288940D.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I0288940D.opf/I0288940D.opf/base/v001.txt
I048844DB,new,False,0,0,0,0,50543,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I048844DB.opf/I048844DB.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I048844DB.opf/I048844DB.opf/base/v001.txt
I058DD999,new,True,147,146,1,0,165717,22958,22958,13.853739,156.177,146.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I058DD999.opf/I058DD999.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I058DD999.opf/I058DD999.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I058DD999.opf/I058DD999.opf/base/v001.txt
I069801F1,new,True,13,3,10,0,55881,868,868,1.553301,66.769,33.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I069801F1.opf/I069801F1.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I069801F1.opf/I069801F1.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I069801F1.opf/I069801F1.opf/base/v001.txt
I07240379,new,True,3,1,2,0,140805,245,245,0.174,81.667,53.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I07240379.opf/I07240379.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I07240379.opf/I07240379.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I07240379.opf/I07240379.opf/base/v001.txt
I07ECF0AE,new,False,0,0,0,0,93532,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I07ECF0AE.opf/I07ECF0AE.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I07ECF0AE.opf/I07ECF0AE.opf/base/v001.txt
I07EDDE07,new,False,0,0,0,0,17571,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I07EDDE07.opf/I07EDDE07.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I07EDDE07.opf/I07EDDE07.opf/base/v001.txt
I08405360,new,False,0,0,0,0,346900,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I08405360.opf/I08405360.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I08405360.opf/I08405360.opf/base/v001.txt
I0B81CD66,new,True,1,1,0,0,347591,115,115,0.033085,115.0,115.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I0B81CD66.opf/I0B81CD66.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I0B81CD66.opf/I0B81CD66.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I0B81CD66.opf/I0B81CD66.opf/base/v001.txt
I0FCFA88F,new,True,146,146,0,0,239456,39089,39089,16.324085,267.733,210.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I0FCFA88F.opf/I0FCFA88F.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I0FCFA88F.opf/I0FCFA88F.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I0FCFA88F.opf/I0FCFA88F.opf/base/v001.txt
I0FE9ED9E,new,False,0,0,0,0,128031,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I0FE9ED9E.opf/I0FE9ED9E.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I0FE9ED9E.opf/I0FE9ED9E.opf/base/v001.txt
I100E7DAD,new,True,325,325,0,0,341946,46536,46536,13.609166,143.188,120.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I100E7DAD.opf/I100E7DAD.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I100E7DAD.opf/I100E7DAD.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I100E7DAD.opf/I100E7DAD.opf/base/v001.txt
I10C4C4B5,new,False,0,0,0,0,206837,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I10C4C4B5.opf/I10C4C4B5.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I10C4C4B5.opf/I10C4C4B5.opf/base/v001.txt
